Actor,Tense,Mode,Kovol word,English
1s,future,,ɛβɛginim,to hold
2s,future,,ɛβɛgeniŋ,to hold
3s,future,,ɛβɛgeriŋ,to hold
1p,future,,oβogorug,to hold
2p,future,,oβogolwa,to hold
3p,future,,oβogorond,to hold
2s,future,imperative,ɛβɛgere,to hold
2p,future,imperative,aβagalas,to hold
1s,recent past,,aβagagam,to hold
2s,recent past,,oβogogɔŋ,to hold
3s,recent past,,aβagaga,to hold
1p,recent past,,aβagaŋg,to hold
2p,recent past,,aβagagama,to hold
3p,recent past,,aβagagand,to hold
1s,remote past,,oβogolɔm,to hold
2s,remote past,,oβogolɔŋ,to hold
3s,remote past,,oβogolɔt,to hold
1p,remote past,,oβogolomuŋg,to hold
2p,remote past,,oβogolomwa,to hold
3p,remote past,,oβogolɛmind,to hold
1s,future,,osuguluminim,to revive a fire
2s,future,,osuguluminiŋ,to revive a fire
3s,future,,osugulumiŋ,to revive a fire
1p,future,,osugulumug,to revive a fire
2p,future,,osuguluwa,to revive a fire
3p,future,,osugulumis,to revive a fire
2s,future,imperative,osugulume,to revive a fire
2p,future,imperative,osugulumas,to revive a fire
1s,recent past,,osugulugum,to revive a fire
2s,recent past,,osugulugɔŋ,to revive a fire
3s,recent past,,osuguluge,to revive a fire
1p,recent past,,osugulumuŋg,to revive a fire
2p,recent past,,osuguluguma,to revive a fire
3p,recent past,,osugulugund,to revive a fire
1s,remote past,,osugulumum,to revive a fire
2s,remote past,,osugulumuŋ,to revive a fire
3s,remote past,,osugulumut,to revive a fire
1p,remote past,,osugulumomuŋg,to revive a fire
2p,remote past,,osugulumomwa,to revive a fire
3p,remote past,,osugulumɛmind,to revive a fire
1s,future,,ninim,to drink/eat
2s,future,,niniŋ,to drink/eat
3s,future,,niŋ,to drink/eat
1p,future,,nug,to drink/eat
2p,future,,nwa,to drink/eat
3p,future,,nis,to drink/eat
2s,future,imperative,ni,to drink/eat
2p,future,imperative,njas,to drink/eat
1s,recent past,,noŋgɔm,to drink/eat
2s,recent past,,noŋgɔŋ,to drink/eat
3s,recent past,,neŋge,to drink/eat
1p,recent past,,nomɔŋg,to drink/eat
2p,recent past,,naŋgama,to drink/eat
3p,recent past,,noŋgɔnd,to drink/eat
1s,remote past,,nomɔm,to drink/eat
2s,remote past,,nomɔŋ,to drink/eat
3s,remote past,,nomɔt,to drink/eat
1p,remote past,,nomomuŋg,to drink/eat
2p,remote past,,nomomwa,to drink/eat
3p,remote past,,nɛmɛmind,to drink/eat
1s,future,,lambiginim,to smoke
2s,future,,lambiginiŋ,to smoke
3s,future,,lambigiŋ,to smoke
1p,future,,lambigug,to smoke
2p,future,,lambigwa,to smoke
3p,future,,lambigis,to smoke
2s,future,imperative,lambigu,to smoke
2p,future,imperative,lambigas,to smoke
1s,recent past,,lambigɔm,to smoke
2s,recent past,,lambigɔŋ,to smoke
3s,recent past,,lambige,to smoke
1p,recent past,,lambigɔŋg,to smoke
2p,recent past,,lambigima,to smoke
3p,recent past,,lambigɔnd,to smoke
1s,remote past,,lambigɔm,to smoke
2s,remote past,,lambigɔŋ,to smoke
3s,remote past,,lambigɔt,to smoke
1p,remote past,,lambigomuŋg,to smoke
2p,remote past,,lambigomwa,to smoke
3p,remote past,,lambigɛmind,to smoke
1s,future,,ɛtinim,to cook
2s,future,,ɛtɛniŋ,to cook
3s,future,,ɛtiŋ,to cook
1p,future,,ɔtug,to cook
